Joint,U1,U2,U3,R1,R2,R3
76,0.000036,-0.000032,-0.000155,-0.002378,0.000485,-0.000944
77,0.000366,0.000285,0.000639,0.000208,0.002551,0.000276
77,0.000041,-0.000036,-0.000134,-0.002604,0.000227,-0.000027
78,0.000398,0.000254,0.001108,0.000482,0.002063,0.000473
78,0.000036,-0.000031,-0.000154,-0.006198,0.000254,-0.000107
79,0.000404,0.000223,0.001308,0.000297,0.000552,0.000335
79,0.000033,-0.000026,-0.000157,-0.003761,-0.002907,-0.000038
80,0.000422,0.000179,0.001617,0.000258,0.000543,0.000249
80,0.000029,-0.000021,-0.000174,-0.003292,-0.003624,-0.000063
81,0.000423,0.00014,0.001621,0.000088,0.00062,0.000188
81,0.000026,-0.000017,-0.000175,-0.00078,-0.004855,-0.000027
82,0.000448,0.000104,0.001754,0.001352,0.000614,0.000291
82,0.000023,-0.000014,-0.00019,-0.000034,-0.004482,-0.000025
83,0.000453,0.000071,0.001573,0.002718,0.000611,0.000104
83,0.000022,-0.00001,-0.000187,-0.000163,-0.003918,-0.000123
84,0.000478,0.000052,0.001523,0.004845,0.000551,0.000329
84,0.000019,-0.000008087,-0.000201,-0.000304,-0.001742,0.000001356
85,0.000483,0.000033,0.001199,0.004257,0.0005,0.000022
85,0.000018,-0.000004988,-0.000197,-0.0004,-0.000643,-0.000383
86,0.000492,0.000033,0.000989,0.005148,0.005677,0.00029
86,0.000016,-0.000004778,-0.000209,-0.000514,0.000386,-0.000272
87,0.000503,0.000041,0.000519,0.002985,0.005513,0.000011
87,0.000013,-0.000029,-0.000203,-0.000576,0.000298,-0.000618
88,0.0005,0.000058,0.000076,0.001856,0.008433,0.000294
88,0.00001,-0.000038,-0.000432,-0.00064,0.000154,-0.000212
89,0.000486,0.000072,-0.000193,-0.00069,0.004609,0.00001
89,0.000006205,-0.000046,-0.000765,-0.002684,0.000037,-0.000426
90,0.000444,0.000082,-0.000219,-0.000741,0.004696,0.000806
90,5.389E-07,-0.000025,-0.00111,-0.004017,-0.000134,0.000078
91,0.000384,0.000096,-0.00021,-0.000688,0.001552,0.000449
91,-0.000004753,0.000009181,-0.00119,-0.005079,-0.000467,-0.00008
92,0.000319,0.000098,-0.00022,-0.000654,0.000923,0.00129
92,-0.000008913,0.000009095,-0.00141,-0.005708,-0.001977,0.000044
93,0.000241,0.000108,-0.00021,-0.000536,-0.000548,0.000744
93,-0.000014,0.000009606,-0.001431,-0.005008,-0.003809,-7.334E-07
94,0.000196,0.000091,-0.00022,-0.000441,-0.000659,0.001084
94,-0.000084,0.000006938,-0.001605,-0.004478,-0.005185,0.000011
95,0.00014,0.000078,-0.000209,-0.000285,-0.000719,0.000523
95,-0.000168,0.000004484,-0.001556,-0.002965,-0.006046,-0.00000323
96,0.000118,0.000046,-0.000219,-0.000145,-0.000776,0.000488
96,-0.000218,4.888E-07,-0.001682,-0.001636,-0.007044,-0.000015
97,0.022045,0.004321,-0.000234,-0.000073,0.366209,0.003884
97,0.000023,-0.000001716,-0.00889,-0.070728,0.000489,-0.000054
98,0.022615,0.000017,-0.000235,0.000018,0.378274,0.000277
98,0.00002,-0.000005071,-0.008947,-0.000057,0.000484,-0.000042
99,0.020377,0.008288,-0.000231,-0.000165,0.330169,0.008334
99,0.000027,0.000002401,-0.008666,-0.131834,0.000482,-0.000065
100,0.017719,0.011525,-0.000229,-0.000257,0.273396,0.013694
100,0.00003,0.000007548,-0.00828,-0.173341,0.000459,-0.000074
101,0.014306,0.013666,-0.000225,-0.000347,0.203639,0.020611
101,0.000033,0.000013,-0.007643,-0.187149,0.000421,-0.000077
102,0.010456,0.014361,-0.000222,-0.000427,0.132138,0.029685
102,0.000035,0.00002,-0.006754,-0.169378,0.000365,-0.00007
103,0.006626,0.013294,-0.000216,-0.000489,0.072546,0.041826
103,0.000035,0.000025,-0.005599,-0.124123,0.00029,-0.000044
104,0.003469,0.010361,-0.00021,-0.000511,0.035241,0.05362
104,0.000033,0.000026,-0.004304,-0.065841,0.000198,0.000008085
105,0.001666,0.006044,-0.000202,-0.000247,0.023607,0.060139
105,0.00003,0.000022,-0.002934,-0.017364,0.0001,-0.000143
106,0.001439,0.002087,-0.000115,0.004742,0.02519,0.039026
106,0.000028,0.000013,-0.001499,-0.000405,0.000022,-0.000568
107,0.002095,0.000124,0.000448,0.008926,0.027275,0.022762
107,0.00003,-0.000497,-0.000184,-0.000265,-0.000016,-0.000626
108,0.002962,0.000142,0.001312,0.012058,0.029422,0.012856
108,0.000034,-0.001407,-0.000176,-0.000189,-0.000026,-0.000443
109,0.003796,0.000158,0.002038,0.012694,0.031184,0.006436
109,0.000034,-0.001711,-0.000171,-0.000123,-0.000033,0.000001021
110,0.004449,0.000136,0.002547,0.010262,0.033198,0.002933
110,0.000025,-0.001502,-0.000175,-0.000028,-0.000093,-0.000182
111,0.004883,0.000111,0.002929,0.007311,0.034669,0.001472
111,0.00001,-0.001029,-0.000182,-0.000011,-0.000225,-0.000183
112,0.005121,0.000109,0.003192,0.003373,0.035741,0.00101
112,-0.000002315,-0.000431,-0.000191,-0.000104,-0.000349,-0.000123
113,0.005199,0.000225,0.003319,0.000097,0.03613,0.00058
113,-0.000009646,-0.000027,-0.000199,-0.000847,-0.000416,-0.00006
114,0.005137,0.000874,0.003319,0.000178,0.035985,0.000119
114,-0.000012,-0.00003,-0.000206,-0.004745,-0.000428,-0.000249
115,0.004934,0.001478,0.003181,0.000253,0.035543,0.000015
115,-0.000011,-0.000033,-0.000212,-0.008801,-0.0004,-0.000867
116,0.004569,0.001956,0.002896,0.000317,0.034628,0.000026
116,-0.0000082,-0.000035,-0.000218,-0.012065,-0.000348,-0.002031
117,0.003977,0.002141,0.002422,0.00037,0.032849,0.000022
117,-0.000004693,-0.000036,-0.000223,-0.014546,-0.000286,-0.006552
118,0.003167,0.001764,0.001668,0.000415,0.03063,0.000012
118,-0.000001496,-0.000037,-0.000227,-0.013931,-0.000219,-0.013804
119,0.002302,0.000783,0.00077,0.000452,0.027726,-0.000001107
119,0.000001529,-0.000038,-0.00023,-0.010336,-0.000146,-0.023284
120,0.001645,0.00008,0.000084,0.000472,0.025541,0.00000328
120,0.000004484,-0.001803,-0.001215,-0.005553,-0.000065,-0.038677
121,0.001807,0.000054,-0.000219,0.015707,0.024091,0.000036
121,0.000007659,-0.005715,-0.002715,0.000159,0.000024,-0.059499
122,0.003523,0.000012,-0.000237,0.06258,0.035148,0.00007
122,0.00001,-0.010027,-0.004135,0.000474,0.000116,-0.053954
123,0.006623,-0.000026,-0.000237,0.120109,0.071193,0.000071
123,0.000011,-0.013023,-0.005467,0.00045,0.0002,-0.042653
124,0.01043,-0.000021,-0.000238,0.165837,0.130199,0.000053
124,0.000012,-0.014178,-0.006659,0.0004,0.000274,-0.030611
125,0.014279,-0.000016,-0.000237,0.184655,0.201566,0.000031
125,0.000012,-0.013558,-0.007582,0.000337,0.000337,-0.021273
126,0.017697,-0.000013,-0.000238,0.171874,0.271641,0.000008769
126,0.000013,-0.011468,-0.008246,0.000267,0.00039,-0.014071
127,0.020361,-0.00001,-0.000237,0.131163,0.328952,-0.00001
127,0.000014,-0.008262,-0.008648,0.00019,0.000433,-0.008549
128,0.022038,-0.000007421,-0.000236,0.070522,0.365603,0.000202
128,0.000017,-0.004313,-0.008883,0.000106,0.000465,-0.004036
129,0.010406,0.00163,-0.000259,0.063886,0.002281,0.000541
129,0.000044,-9.057E-08,-0.019407,-0.000021,-0.297466,-0.00688
130,0.010376,0.000025,-0.00026,0.000097,0.002296,0.000522
130,0.00004,-0.000007674,-0.019668,-0.000113,-0.313,-0.000054
131,0.010422,0.003301,-0.000256,0.115676,0.002275,0.000884
131,0.000049,0.000007849,-0.018582,-0.000006908,-0.254313,-0.010407
132,0.010129,0.004849,-0.000253,0.147906,0.002317,0.0017
132,0.000052,0.000017,-0.017226,0.000005207,-0.194995,-0.008608
133,0.009324,0.00593,-0.00025,0.159489,0.003423,0.004462
133,0.000054,0.000027,-0.015411,-0.000004692,-0.130038,-0.001279
134,0.008065,0.006177,-0.000245,0.151454,0.004191,0.009757
134,0.000055,0.000037,-0.013187,-0.000017,-0.067869,-0.000093
135,0.006667,0.005429,-0.000239,0.125227,0.006075,0.017777
135,0.000052,0.000045,-0.010629,-0.000022,-0.016846,-0.00005
136,0.005526,0.00381,-0.000233,0.087246,0.018963,0.024494
136,0.000046,0.00004,-0.007863,-0.000014,0.000099,0.00003
137,0.00498,0.001806,-0.000225,0.04833,0.036941,0.024153
137,0.00004,0.000025,-0.005013,-0.00006,0.000097,-0.000244
138,0.005056,0.000161,-0.00011,0.023706,0.038619,0.020397
